"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkocsj463""","Link","Address","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Address","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndko8a71jd""","Card Break","Supplier Scorecard","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndks1hl3sk""","Link","Supplier Scorecard","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Scorecard","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk1k6usfa""","Link","Supplier Scorecard Variable","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Scorecard Variable","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkf82ceo1""","Link","Supplier Scorecard Criteria","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Scorecard Criteria","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkivk0vfa""","Link","Supplier Scorecard Standing","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Scorecard Standing","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndku5tbj2g""","Card Break","Key Reports","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk07o6neg""","Link","Purchase Analytics","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Purchase Analytics","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkako57vo""","Link","Purchase Order Analysis","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Purchase Order Analysis","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkn8pjec6""","Link","Supplier-Wise Sales Analytics","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Supplier-Wise Sales Analytics","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk6ftcnfj""","Link","Items to Order and Receive","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Requested Items to Order and Receive","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkej4g6oh""","Link","Purchase Order Trends","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Purchase Order Trends","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk01o10fk""","Link","Procurement Tracker","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Procurement Tracker","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkijngsdm""","Card Break","Other Reports","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkmtu1ua9""","Link","Items To Be Requested","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Items To Be Requested","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndke4mcm1a""","Link","Item-wise Purchase History","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Item-wise Purchase History","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndksecq2vq""","Link","Purchase Receipt Trends","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Purchase Receipt Trends","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkvmqlv6l""","Link","Purchase Invoice Trends","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Purchase Invoice Trends","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk30hus6g""","Link","Subcontracted Raw Materials To Be Transferred","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Subcontracted Raw Materials To Be Transferred","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndksq6dqm2""","Link","Subcontracted Item To Be Received","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Subcontracted Item To Be Received","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk8grmeq5""","Link","Supplier Quotation Comparison","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Supplier Quotation Comparison","","","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkgckpgcl""","Link","Material Requests for which Supplier Quotations are not created","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Material Requests for which Supplier Quotations are not created","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkl1invlv""","Link","Supplier Addresses And Contacts","2020-01-28 11:50:26.195467","Administrator","","",0,"Report","Address And Contacts","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk90mchh7""","Card Break","Regional","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk17e24gt""","Link","Import Supplier Invoice","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Import Supplier Invoice","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""CRM""","CRM","CRM","Workspace","2020-01-23 14:48:30.183272","Administrator",17.0,"","","CRM","erpnext","","","","crm","","",0,1,0,"","""nd4d0em6uh""","New Lead (Last 1 Month)","2020-01-23 14:48:30.183272","Administrator","New Lead (Last 1 Month)","","""nd4pfrja17""","Won Opportunities","2020-01-23 14:48:30.183272","Administrator","Won Opportunities","","","","","","","","","","","","","","","","","","""nd4d3ivcbq""","Link","Lead Details","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Lead Details","","Lead","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""nd4pgnbcms""","New Opportunity (Last 1 Month)","2020-01-23 14:48:30.183272","Administrator","New Opportunity (Last 1 Month)","","","","","","","","","","","","","","","","","","","","","","","","""nd4ij0qm90""","Link","Sales Pipeline Analytics","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Sales Pipeline Analytics","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""nd47r39j42""","Won Opportunity (Last 1 Month)","2020-01-23 14:48:30.183272","Administrator","Won Opportunity (Last 1 Month)","","","","","","","","","","","","","","","","","","","","","","","","""nd4hdgoikh""","Link","Opportunity Summary by Sales Stage","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Opportunity Summary by Sales Stage","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd45vkuu3c""","Link","Sales Funnel","2020-01-23 14:48:30.183272","Administrator","","",0,"Page","sales-funnel","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4m1mcicp""","Link","Prospects Engaged But Not Converted","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Prospects Engaged But Not Converted","","Lead","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4ohoob54""","Link","First Response Time for Opportunity","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","First Response Time for Opportunity","","Opportunity","",0,1,"","","","","","","","","","","","","","","","","",""
